dataset;tabela;funcHash;m;n;tempoInsercao_ms;colisoesInsercao;tempoBusca_ms;gapMin;gapMax;gapMedio
100k;Linear;DIVISAO;100003;100000;126.332;17561582;71.231;1;3;2.50
100k;Linear;MULTIPLICACAO;100003;100000;99.801;22465676;80.962;1;2;1.43
100k;Linear;ULTIMOS;100003;100000;87.771;16127027;60.059;1;4;1.67
100k;Encadeada;DIVISAO;1003;100000;12.069;5084008;309.005;0;0;0.00
top3_encadeada;100k;DIVISAO;1003;509:130;19:127;333:127
100k;Encadeada;DIVISAO;10007;100000;16.172;588863;30.144;0;0;0.00
top3_encadeada;100k;DIVISAO;10007;3751:23;4548:22;5266:22
100k;Encadeada;DIVISAO;100003;100000;24.298;86812;14.284;0;0;0.00
top3_encadeada;100k;DIVISAO;100003;48159:8;48399:8;8405:7
100k;Encadeada;MULTIPLICACAO;1003;100000;12.848;5086569;303.586;0;0;0.00
top3_encadeada;100k;MULTIPLICACAO;1003;616:133;822:129;866:129
100k;Encadeada;MULTIPLICACAO;10007;100000;16.936;589721;53.935;0;0;0.00
top3_encadeada;100k;MULTIPLICACAO;10007;1793:24;4785:24;9447:24
100k;Encadeada;MULTIPLICACAO;100003;100000;18.702;86520;18.230;0;0;0.00
top3_encadeada;100k;MULTIPLICACAO;100003;81148:8;8130:7;13869:7
100k;Encadeada;ULTIMOS;1003;100000;17.704;5081649;269.768;0;0;0.00
top3_encadeada;100k;ULTIMOS;1003;421:136;596:127;666:127
100k;Encadeada;ULTIMOS;10007;100000;6.427;590118;38.986;0;0;0.00
top3_encadeada;100k;ULTIMOS;10007;7102:25;388:23;1120:22
100k;Encadeada;ULTIMOS;100003;100000;13.719;87128;14.283;0;0;0.00
top3_encadeada;100k;ULTIMOS;100003;12877:8;1329:7;2685:7
100k;Dupla;DIVISAO;100003;100000;27.204;772288;23.042;1;1;1.00
100k;Dupla;MULTIPLICACAO;100003;100000;31.106;757369;18.895;1;1;1.00
100k;Dupla;ULTIMOS;100003;100000;29.922;801615;28.949;1;1;1.00
